time	V(a)	V(b)	V(c)	V(d)	V(out)
3.005214285710695e-006	1.897310e+000	4.976875e+000	3.123347e-002	5.054758e+000	1.090584e+000
3.020785714282105e-006	1.847143e+000	4.976899e+000	3.020537e-002	5.060509e+000	1.218360e+000
3.036357142853515e-006	1.796951e+000	4.976878e+000	2.930132e-002	5.066701e+000	1.354165e+000
3.051928571424925e-006	1.746733e+000	4.976813e+000	2.852131e-002	5.073335e+000	1.497997e+000
3.067499999996335e-006	1.696488e+000	4.976703e+000	2.786534e-002	5.080410e+000	1.649858e+000
3.068499999996334e-006	1.693147e+000	4.976687e+000	2.782814e-002	5.080904e+000	1.660049e+000
3.079214285710607e-006	1.657379e+000	4.976554e+000	2.748410e-002	5.086397e+000	1.772759e+000
3.089928571424879e-006	1.622924e+000	4.976495e+000	2.716612e-002	5.091925e+000	1.885901e+000
3.100642857139152e-006	1.589781e+000	4.976511e+000	2.687420e-002	5.097486e+000	1.999475e+000
3.111357142853425e-006	1.557951e+000	4.976602e+000	2.660833e-002	5.103082e+000	2.113482e+000
3.122071428567698e-006	1.527434e+000	4.976767e+000	2.636852e-002	5.108711e+000	2.227922e+000
3.132785714281971e-006	1.498229e+000	4.977007e+000	2.615477e-002	5.114375e+000	2.342794e+000
3.143499999996244e-006	1.470337e+000	4.977321e+000	2.596707e-002	5.120073e+000	2.458098e+000
3.151785714281948e-006	1.449195e+000	4.977551e+000	2.582404e-002	5.124509e+000	2.546820e+000
3.160071428567653e-006	1.428366e+000	4.977777e+000	2.568938e-002	5.128990e+000	2.634609e+000
3.168357142853357e-006	1.407850e+000	4.978001e+000	2.556307e-002	5.133516e+000	2.721464e+000
3.176642857139061e-006	1.387648e+000	4.978221e+000	2.544512e-002	5.138087e+000	2.807386e+000
3.184928571424766e-006	1.367759e+000	4.978439e+000	2.533553e-002	5.142702e+000	2.892374e+000
