time	V(1_a1)	V(2_a0)	V(3_b1)	V(4_b0)	V(5_c0)	V(6_q1)	V(7_q0)
1.000001387221656e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	3.388732e-003	1.031026e-003	4.928876e+000
1.000001578106453e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	3.347142e-003	1.057697e-003	4.928819e+000
1.000001888760614e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	3.280220e-003	1.099208e-003	4.928478e+000
1.000002318786229e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	3.189157e-003	1.152828e-003	4.927841e+000
1.000003008475600e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	3.046756e-003	1.230115e-003	4.926758e+000
1.000003966619661e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	2.856300e-003	1.320530e-003	4.925400e+000
1.000005469401653e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	2.573839e-003	1.426845e-003	4.923764e+000
1.000007566655012e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	2.211177e-003	1.511486e-003	4.922458e+000
1.000010792910236e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	1.712198e-003	1.534627e-003	4.922132e+000
1.000014160199174e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	1.252766e-003	1.460771e-003	4.923360e+000
1.000016502412477e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	9.735539e-004	1.347929e-003	4.925093e+000
1.000019036584967e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	7.102789e-004	1.168549e-003	4.927558e+000
1.000022186736898e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	4.237892e-004	8.967774e-004	4.931067e+000
1.000024924149468e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	2.060864e-004	6.320234e-004	4.934638e+000
1.000026916187501e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	6.743232e-005	4.240147e-004	4.937776e+000
1.000029124863238e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-6.978493e-005	1.822107e-004	4.941756e+000
1.000030739833657e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-1.598773e-004	-1.340846e-006	4.944842e+000
1.000032869605914e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-2.639439e-004	-2.536328e-004	4.949032e+000
1.000036091878349e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-3.982580e-004	-6.528545e-004	4.955491e+000
1.000039538908671e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-5.170699e-004	-1.099102e-003	4.962485e+000
1.000042336257528e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-5.934812e-004	-1.472670e-003	4.968194e+000
1.000045935002146e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-6.642775e-004	-1.959296e-003	4.975515e+000
1.000053132491385e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-7.452627e-004	-2.924372e-003	4.989946e+000
1.000064083978119e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-7.741770e-004	-4.350936e-003	5.011178e+000
1.000077928342376e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-7.138820e-004	-6.066279e-003	5.036258e+000
1.000091266950023e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-6.024466e-004	-7.545408e-003	5.057806e+000
1.000104087083405e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-4.775160e-004	-8.635572e-003	5.075445e+000
1.000116345296360e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-3.608316e-004	-9.186533e-003	5.089287e+000
1.000128485121127e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-2.559180e-004	-9.130466e-003	5.100201e+000
1.000140273668715e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-1.665727e-004	-8.482470e-003	5.108509e+000
1.000149996392092e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-1.049531e-004	-7.493557e-003	5.113810e+000
1.000160452067291e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-5.156072e-005	-6.023716e-003	5.118191e+000
1.000171123934248e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	-8.357252e-006	-4.215150e-003	5.121705e+000
1.000182190035401e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	2.591168e-005	-2.088690e-003	5.124753e+000
1.000194022721600e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	5.286817e-005	3.957657e-004	5.127297e+000
1.000207171224553e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	7.467077e-005	3.322786e-003	5.128110e+000
1.000213961863040e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	8.291145e-005	4.893352e-003	5.126129e+000
1.000218890852129e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	8.735189e-005	6.059737e-003	5.122165e+000
1.000224309683514e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	9.104332e-005	7.360588e-003	5.114715e+000
1.000233188870067e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	9.509209e-005	9.526852e-003	5.096819e+000
1.000245951207266e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	9.797665e-005	1.268626e-002	5.062768e+000
1.000258275662449e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	9.803600e-005	1.575978e-002	5.022481e+000
1.000272372970291e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	9.551678e-005	1.926628e-002	4.969324e+000
1.000286347098274e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	9.117137e-005	2.269993e-002	4.910158e+000
1.000302896931749e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	8.446451e-005	2.663439e-002	4.830127e+000
1.000325751739226e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	7.402293e-005	3.172524e-002	4.701888e+000
