time	V(vin)	V(n001)
1.002436110438579e-002	5.000000e+000	1.922710e-002
1.002574835575590e-002	5.000000e+000	1.302350e-002
1.002713665452684e-002	5.000000e+000	8.816279e-003
1.002851767887155e-002	5.000000e+000	5.978955e-003
1.002989974041613e-002	5.000000e+000	4.053677e-003
1.003127822815521e-002	5.000000e+000	2.750832e-003
1.003265833745832e-002	5.000000e+000	1.865882e-003
1.003403611421975e-002	5.000000e+000	1.266355e-003
1.003541509045215e-002	5.000000e+000	8.591873e-004
1.003679250211425e-002	5.000000e+000	5.831667e-004
1.003817087451295e-002	5.000000e+000	3.957204e-004
1.003954820718154e-002	5.000000e+000	2.692696e-004
1.004104016779510e-002	5.000000e+000	1.781413e-004
1.004267852244056e-002	5.000000e+000	1.138255e-004
1.004470737111504e-002	5.000000e+000	6.572630e-005
1.004708653558490e-002	5.000000e+000	3.463476e-005
1.005021024312636e-002	5.000000e+000	1.518906e-005
1.005428396585464e-002	5.000000e+000	5.260452e-006
1.006034624974613e-002	5.000000e+000	1.152449e-006
1.007019229706914e-002	5.000000e+000	5.282938e-008
1.500000000000173e-002	5.000000e+000	3.568793e-009
1.500000100000000e-002	5.000000e+000	3.568793e-009
1.500000100220000e-002	4.989000e+000	-3.408135e-005
1.500000100659999e-002	4.967000e+000	-1.022545e-004
1.500000113859976e-002	4.307001e+000	-2.147510e-003
1.500000127939952e-002	3.603002e+000	-4.326945e-003
1.500000156099904e-002	2.195005e+000	-8.653858e-003
1.500000200000000e-002	0.000000e+000	-1.533063e-002
1.500000200096614e-002	0.000000e+000	-1.533005e-002
1.500000200289841e-002	0.000000e+000	-1.532890e-002
1.500000652496101e-002	0.000000e+000	-1.262984e-002
1.500001104702361e-002	0.000000e+000	-9.931366e-003
1.500001556908622e-002	0.000000e+000	-7.233481e-003
1.500002009114882e-002	0.000000e+000	-4.536182e-003
1.500002461321142e-002	0.000000e+000	-1.839470e-003
1.500002913527403e-002	0.000000e+000	8.566546e-004
1.500003365733663e-002	0.000000e+000	3.552193e-003
1.500006531563940e-002	0.000000e+000	2.241033e-002
1.500012052236562e-002	0.000000e+000	5.525429e-002
1.500017647323662e-002	0.000000e+000	8.848649e-002
1.500026649121871e-002	0.000000e+000	1.418478e-001
1.500035787429783e-002	0.000000e+000	1.958784e-001
1.500045895422921e-002	0.000000e+000	2.554380e-001
1.500056732500262e-002	0.000000e+000	3.189878e-001
1.500078406654944e-002	0.000000e+000	4.450729e-001
1.500121754964307e-002	0.000000e+000	6.934610e-001
1.500208451583033e-002	0.000000e+000	1.176053e+000
1.500341205724986e-002	0.000000e+000	1.870595e+000
1.500514921516378e-002	0.000000e+000	2.675852e+000
1.500688128531547e-002	0.000000e+000	3.330559e+000
1.500874024443173e-002	0.000000e+000	3.858500e+000
1.501064067099719e-002	0.000000e+000	4.239232e+000
1.501273035028978e-002	0.000000e+000	4.516215e+000
1.501516183434236e-002	0.000000e+000	4.717591e+000
1.501772114671536e-002	0.000000e+000	4.841604e+000
1.502060665538867e-002	0.000000e+000	4.917443e+000
1.502381641834202e-002	0.000000e+000	4.959931e+000
1.502775411356534e-002	0.000000e+000	4.983304e+000
1.503256282097854e-002	0.000000e+000	4.994261e+000
1.503903396226479e-002	0.000000e+000	4.998612e+000
1.504802887552643e-002	0.000000e+000	4.999853e+000
1.505802887552643e-002	0.000000e+000	5.000001e+000
1.506802887552643e-002	0.000000e+000	5.000000e+000
1.665802887552637e-002	0.000000e+000	5.000000e+000
1.999999900000000e-002	0.000000e+000	5.000000e+000
2.000000000000000e-002	0.000000e+000	5.000000e+000
